sub,sub_name,rank,year,venue,title,doi,in_sub_cites,in_sub_share,spc_out,cited_by,cd5,on_main_path,q1_year
75,Task Switching at Work,2,2004,chi,"""Constant, constant, multi-tasking craziness""",10.1145/985692.985707,45,0.372,1177.7,705,-0.12121212121212122,False,2011
75,Task Switching at Work,3,2008,chi,The cost of interrupted work,10.1145/1357054.1357072,34,0.281,792.1,650,0.0,False,2011
75,Task Switching at Work,4,2005,chi,No task left behind?,10.1145/1054972.1055017,29,0.24,784.6,489,-0.23655913978494625,False,2011
75,Task Switching at Work,5,2007,chi,Disruption and recovery of computing tasks,10.1145/1240624.1240730,29,0.24,861.4,294,-0.16853932584269662,False,2011
76,Mobile Information Needs & Translation,1,2011,chi,MicroMandarin,10.1145/1978942.1979413,24,0.087,571.7,140,0.6363636363636364,False,2011
76,Mobile Information Needs & Translation,2,2006,cscw,Effects of machine translation on collaborative work,10.1145/1180875.1180955,23,0.084,400.0,123,-0.08,False,2011
76,Mobile Information Needs & Translation,3,2009,chi,Difficulties in establishing common ground in multiparty groups using machine translation,10.1145/1518701.1518807,18,0.065,332.7,82,-0.125,False,2011
76,Mobile Information Needs & Translation,4,2004,cscw,Taking it out of context,10.1145/1031607.1031712,17,0.062,434.0,135,-0.022988505747126436,False,2011
76,Mobile Information Needs & Translation,5,2009,chi,Cultural difference and adaptation of communication styles in computer-mediated group brai,10.1145/1518701.1518806,12,0.044,330.1,101,-0.125,False,2011
77,Recommender Explanations & User-centric Evaluation,1,2000,cscw,Explaining collaborative filtering recommendations,10.1145/358916.358995,76,0.239,939.1,1705,-0.047619047619047616,False,2015
77,Recommender Explanations & User-centric Evaluation,2,2011,recsys,A user-centric evaluation framework for recommender systems,10.1145/2043932.2043962,55,0.173,601.2,860,0.2857142857142857,False,2015
77,Recommender Explanations & User-centric Evaluation,3,2012,recsys,TasteWeights,10.1145/2365952.2365964,53,0.167,673.5,275,-0.04,False,2015
77,Recommender Explanations & User-centric Evaluation,4,2008,chi,PeerChooser,10.1145/1357054.1357222,38,0.119,427.1,145,-0.05263157894736842,False,2015
77,Recommender Explanations & User-centric Evaluation,5,2009,iui,Tagsplanations,10.1145/1502650.1502661,34,0.107,681.2,303,-0.08955223880597014,False,2015
78,Sequential & Session-based Recommendation,1,2010,recsys,Performance of recommender algorithms on top-n recommendation tasks,10.1145/1864708.1864721,38,0.156,146.0,1443,0.8695652173913043,False,2019
78,Sequential & Session-based Recommendation,2,2019,recsys,Are we really making much progress? A worrying analysis of recent neural recommendation ap,10.1145/3298689.3347058,32,0.131,741.8,412,0.1875,False,2019
78,Sequential & Session-based Recommendation,3,2017,recsys,Personalizing Session-based Recommendations with Hierarchical Recurrent Neural Networks,10.1145/3109859.3109896,15,0.061,45.6,585,0.3181818181818182,False,2019
78,Sequential & Session-based Recommendation,4,2009,recsys,Collaborative prediction and ranking with non-random missing data,10.1145/1639714.1639717,13,0.053,92.8,324,0.19047619047619047,False,2019
78,Sequential & Session-based Recommendation,5,2011,recsys,Item popularity and recommendation accuracy,10.1145/2043932.2043957,12,0.049,33.9,340,-0.044444444444444446,False,2019
79,Neural Session Recommendation,1,2012,recsys,Context-aware music recommendation based on latenttopic sequential patterns,10.1145/2365952.2365979,18,0.08,184.0,288,0.45454545454545453,False,2016
79,Neural Session Recommendation,2,2016,recsys,Meta-Prod2Vec,10.1145/2959100.2959160,15,0.066,67.5,174,0.45714285714285713,False,2016
79,Neural Session Recommendation,3,2016,recsys,Parallel Recurrent Neural Network Architectures for Feature-rich Session-based Recommendat,10.1145/2959100.2959167,13,0.058,78.3,541,0.6086956521739131,False,2016
79,Neural Session Recommendation,4,2009,recsys,RecSys'09 workshop 3,10.1145/1639714.1639806,7,0.031,2.1,24,1.0,False,2016
79,Neural Session Recommendation,5,2010,recsys,Context-awareness in recommender systems,10.1145/1864708.1864801,7,0.031,50.5,52,1.0,False,2016
80,"Diversity, Novelty & Bias in Recommendation",1,2011,recsys,Rank and relevance in novelty and diversity metrics for recommender systems,10.1145/2043932.2043955,31,0.142,140.3,717,-0.04,False,2016
80,"Diversity, Novelty & Bias in Recommendation",2,2010,recsys,Beyond accuracy,10.1145/1864708.1864761,24,0.11,55.0,659,1.0,False,2016
80,"Diversity, Novelty & Bias in Recommendation",3,2008,recsys,Avoiding monotony,10.1145/1454008.1454030,20,0.091,142.9,459,0.75,False,2016
80,"Diversity, Novelty & Bias in Recommendation",4,2008,recsys,The long tail of recommender systems and how to leverage it,10.1145/1454008.1454012,16,0.073,90.0,446,1.0,False,2016
80,"Diversity, Novelty & Bias in Recommendation",5,2014,recsys,"Coverage, redundancy and size-awareness in genre diversity for recommender systems",10.1145/2645710.2645743,11,0.05,94.9,142,-0.009708737864077669,False,2016
81,Collaborative Filtering & Trust,1,2003,chi,Is seeing believing?,10.1145/642611.642713,25,0.118,337.2,465,0.058823529411764705,False,2008
81,Collaborative Filtering & Trust,2,1995,chi,Social information filtering,10.1145/223904.223931,20,0.095,234.8,2809,1.0,False,2008
81,Collaborative Filtering & Trust,3,2007,recsys,Trust-aware recommender systems,10.1145/1297231.1297235,19,0.09,119.0,1196,0.2857142857142857,False,2008
81,Collaborative Filtering & Trust,4,2002,iui,Getting to know you,10.1145/502716.502737,16,0.076,153.6,540,0.8181818181818182,False,2008
81,Collaborative Filtering & Trust,5,1995,chi,Recommending and evaluating choices in a virtual community of use,10.1145/223904.223929,15,0.071,200.8,1134,0.0,False,2008
82,Knowledge-aware & LLM Recommendation,1,2011,recsys,Precision-oriented evaluation of recommender systems,10.1145/2043932.2043996,17,0.09,81.3,208,0.0,False,2018
82,Knowledge-aware & LLM Recommendation,2,2011,recsys,MyMediaLite,10.1145/2043932.2043989,14,0.074,116.1,372,0.3220338983050847,False,2018
82,Knowledge-aware & LLM Recommendation,3,2011,recsys,Second workshop on information heterogeneity and fusion in recommender systems (HetRec2011,10.1145/2043932.2044016,10,0.053,7.8,354,1.0,False,2018
82,Knowledge-aware & LLM Recommendation,4,2011,recsys,OrdRec,10.1145/2043932.2043956,8,0.042,25.6,168,1.0,False,2018
82,Knowledge-aware & LLM Recommendation,5,2012,recsys,CLiMF,10.1145/2365952.2365981,8,0.042,173.0,311,0.03571428571428571,False,2018
83,Industrial Recommendation & CTR Prediction,1,2016,recsys,Deep Neural Networks for YouTube Recommendations,10.1145/2959100.2959190,54,0.303,107.6,3535,0.5571428571428572,False,2019
83,Industrial Recommendation & CTR Prediction,2,2010,recsys,The YouTube video recommendation system,10.1145/1864708.1864770,20,0.112,49.9,1217,1.0,False,2019
83,Industrial Recommendation & CTR Prediction,3,2016,recsys,Field-aware Factorization Machines for CTR Prediction,10.1145/2959100.2959134,13,0.073,30.6,735,1.0,False,2019
83,Industrial Recommendation & CTR Prediction,4,2019,recsys,Recommending what video to watch next,10.1145/3298689.3346997,13,0.073,236.8,320,-0.03278688524590164,False,2019
83,Industrial Recommendation & CTR Prediction,5,2019,recsys,Sampling-bias-corrected neural modeling for large corpus item recommendations,10.1145/3298689.3346996,11,0.062,216.0,221,0.02040816326530612,False,2019
84,Web Search & Navigation,1,1995,chi,Information foraging in information access environments,10.1145/223904.223911,19,0.11,461.9,462,0.4444444444444444,False,2000
84,Web Search & Navigation,2,1992,chi,Edit wear and read wear,10.1145/142750.142751,18,0.104,387.3,505,1.0,False,2000
84,Web Search & Navigation,3,2000,chi,The scent of a site,10.1145/332040.332423,14,0.081,344.3,185,-0.1111111111111111,False,2000
84,Web Search & Navigation,4,1997,chi,Computational models of information scent-following in a very large browsable text collect,10.1145/258549.258558,13,0.075,318.3,167,0.23076923076923078,False,2000
84,Web Search & Navigation,5,1996,chi,The WebBook and the Web Forager,10.1145/238386.238446,12,0.069,407.4,342,0.23076923076923078,False,2000
85,Context-aware & Cold-start Recommendation,1,2010,recsys,Multiverse recommendation,10.1145/1864708.1864727,22,0.146,131.8,739,0.2916666666666667,False,2012
85,Context-aware & Cold-start Recommendation,2,2011,recsys,Matrix factorization techniques for context aware recommendation,10.1145/2043932.2043988,15,0.099,95.6,387,-0.10714285714285714,False,2012
85,Context-aware & Cold-start Recommendation,3,2010,recsys,Context-Aware Recommender Systems,10.1007/978-0-387-85820-3_7,10,0.066,88.8,1100,0.25925925925925924,False,2012
85,Context-aware & Cold-start Recommendation,4,2009,recsys,Pairwise preference regression for cold-start recommendation,10.1145/1639714.1639720,9,0.06,28.0,316,0.4,False,2012
85,Context-aware & Cold-start Recommendation,5,2009,recsys,Context-based splitting of item ratings in collaborative filtering,10.1145/1639714.1639759,8,0.053,96.7,161,1.0,False,2012
86,News Recommendation & Offline Evaluation,1,2014,recsys,Offline and online evaluation of news recommender systems at swissinfo.ch,10.1145/2645710.2645745,17,0.125,169.8,176,0.010752688172043012,False,2017
86,News Recommendation & Offline Evaluation,2,2010,iui,Personalized news recommendation based on click behavior,10.1145/1719970.1719976,14,0.103,103.6,766,0.9285714285714286,False,2017
86,News Recommendation & Offline Evaluation,3,2016,recsys,Contrasting Offline and Online Results when Evaluating Recommendation Algorithms,10.1145/2959100.2959176,10,0.074,143.1,98,-0.05084745762711865,False,2017
86,News Recommendation & Offline Evaluation,4,2008,recsys,The value of personalised recommender systems to e-business,10.1145/1454008.1454054,7,0.051,32.3,115,1.0,False,2017
86,News Recommendation & Offline Evaluation,5,2013,recsys,Workshop and challenge on news recommender systems,10.1145/2507157.2508004,6,0.044,25.6,21,-0.07142857142857142,False,2017
87,Social Tagging & Group Recommendation,1,2010,recsys,Group recommendations with rank aggregation and collaborative filtering,10.1145/1864708.1864733,19,0.046,203.5,496,0.125,False,2012
87,Social Tagging & Group Recommendation,2,2010,recsys,RECON,10.1145/1864708.1864747,13,0.032,240.1,186,0.018867924528301886,False,2012
87,Social Tagging & Group Recommendation,3,1998,cscw,MusicFX,10.1145/289444.289511,11,0.027,138.0,378,0.1,False,2012
87,Social Tagging & Group Recommendation,4,2002,iui,Flytrap,10.1145/502716.502748,10,0.024,121.6,167,0.0,False,2012
87,Social Tagging & Group Recommendation,5,2010,recsys,Group-based recipe recommendations,10.1145/1864708.1864732,9,0.022,83.8,253,0.2,False,2012
88,Co-design with Children,1,1999,chi,Cooperative inquiry,10.1145/302979.303166,110,0.329,2125.5,854,0.28,False,2007
88,Co-design with Children,2,2004,idc,Mixing ideas,10.1145/1017833.1017838,44,0.132,1020.5,240,-0.125,False,2007
88,Co-design with Children,3,1997,chi,Designing for or designing with? Informant design for interactive learning environments,10.1145/258549.258789,41,0.123,885.3,385,-0.1,False,2007
88,Co-design with Children,4,2006,idc,Using the fun toolkit and other survey methods to gather opinions in child computer intera,10.1145/1139073.1139096,26,0.078,477.9,426,0.55,False,2007
88,Co-design with Children,5,2007,chi,Comicboarding,10.1145/1240624.1240832,23,0.069,573.9,135,-0.11627906976744186,False,2007
89,Tangibles for Learning,1,2007,tei,Do tangible interfaces enhance learning?,10.1145/1226969.1227004,65,0.217,1624.8,530,-0.04918032786885246,False,2011
89,Tangibles for Learning,2,2005,chi,Extending tangible interfaces for education,10.1145/1054972.1055093,45,0.15,1057.8,462,-0.052083333333333336,False,2011
89,Tangibles for Learning,3,2009,chi,Comparing the use of tangible and graphical programming languages for informal science edu,10.1145/1518701.1518851,29,0.097,775.2,280,-0.024509803921568627,False,2011
89,Tangibles for Learning,4,2007,tei,The CTI framework,10.1145/1226969.1227010,25,0.083,687.5,178,-0.033210332103321034,False,2011
89,Tangibles for Learning,5,2007,tei,Designing tangible programming languages for classroom use,10.1145/1226969.1227003,21,0.07,188.8,219,1.0,False,2011
90,Autistic Children & Technology,1,2009,iss,Collaborative Puzzle Game,10.1145/1731903.1731940,19,0.078,393.9,124,-0.038461538461538464,False,2016
90,Autistic Children & Technology,2,2013,chi,Evaluation of tablet apps to encourage social interaction in children with autism spectrum,10.1145/2470654.2466438,18,0.074,492.5,169,0.0,False,2016
90,Autistic Children & Technology,3,2014,chi,Diversity for design,10.1145/2556288.2557244,17,0.07,337.8,131,0.14705882352941177,False,2016
90,Autistic Children & Technology,4,2012,chi,MOSOCO,10.1145/2207676.2208649,16,0.066,403.6,205,-0.11666666666666667,False,2016
90,Autistic Children & Technology,5,2016,idc,Lands of Fog,10.1145/2930674.2930695,16,0.066,415.7,65,-0.014925373134328358,False,2016
91,Youth Online Safety,1,2017,cscw,Parental Control vs. Teen Self-Regulation,10.1145/2998181.2998352,61,0.271,1827.2,199,-0.13218390804597702,False,2018
91,Youth Online Safety,2,2017,pacmhci,'No Telling Passcodes Out Because They're Private',10.1145/3134699,43,0.191,1302.1,154,-0.03404255319148936,False,2018
91,Youth Online Safety,3,2018,chi,Safety vs. Surveillance,10.1145/3173574.3173698,43,0.191,1347.2,159,-0.0880281690140845,False,2018
91,Youth Online Safety,4,2016,cscw,Managing Expectations,10.1145/2818048.2819928,37,0.164,1163.3,141,-0.023668639053254437,False,2018
91,Youth Online Safety,5,2016,chi,Dear Diary,10.1145/2858036.2858317,35,0.156,964.7,117,-0.16071428571428573,False,2018
92,Children's Agency & Research Ethics,1,2011,idc,Examining values,10.1145/1999030.1999046,17,0.08,346.2,132,0.2631578947368421,False,2015
92,Children's Agency & Research Ethics,2,2008,idc,Designing with and for children with special needs,10.1145/1463689.1463719,11,0.052,275.9,115,0.0,False,2015
92,Children's Agency & Research Ethics,3,2014,idc,Applying the CHECk tool to participatory design sessions with children,10.1145/2593968.2610465,8,0.038,206.3,34,0.0,False,2015
92,Children's Agency & Research Ethics,4,2009,chi,Designing with children with severe motor impairments,10.1145/1518701.1519032,6,0.028,75.0,38,0.6363636363636364,False,2015
92,Children's Agency & Research Ethics,5,2010,idc,Designing technologies with children with special needs,10.1145/1810543.1810575,6,0.028,149.0,28,-0.10526315789473684,False,2015
93,AI Literacy & K-12,1,2020,chi,What is AI Literacy? Competencies and Design Considerations,10.1145/3313831.3376727,74,0.443,2418.2,2454,0.05188679245283019,False,2021
93,AI Literacy & K-12,2,2019,idc,Youth Learning Machine Learning through Building Models of Athletic Moves,10.1145/3311927.3323139,34,0.204,855.1,132,0.4090909090909091,False,2021
93,AI Literacy & K-12,3,2019,chi,Can Children Understand Machine Learning Concepts?,10.1145/3290605.3300645,21,0.126,642.2,136,0.004048582995951417,False,2021
93,AI Literacy & K-12,4,2019,chi,A is for Artificial Intelligence,10.1145/3290605.3300677,20,0.12,535.1,222,0.06086956521739131,False,2021
93,AI Literacy & K-12,5,2021,pacmhci,Co-Designing AI Literacy Exhibits for Informal Learning Spaces,10.1145/3476034,18,0.108,592.6,118,-0.012264150943396227,False,2021
94,Children's Play & Learning Environments,1,2012,iss,Interaction and recognition challenges in interpreting children's touch and gesture input ,10.1145/2396636.2396671,19,0.044,544.5,118,-0.02040816326530612,False,2013
94,Children's Play & Learning Environments,2,2004,idc,Ambient wood,10.1145/1017833.1017834,18,0.042,437.7,324,0.006134969325153374,False,2013
94,Children's Play & Learning Environments,3,2008,idc,Playing with the sound maker,10.1145/1463689.1463754,17,0.04,413.2,121,0.0,False,2013
94,Children's Play & Learning Environments,4,2010,chi,Children's roles using keyword search interfaces at home,10.1145/1753326.1753388,14,0.033,109.0,95,0.42857142857142855,False,2013
94,Children's Play & Learning Environments,5,2010,idc,Touch-screen technology for children,10.1145/1810543.1810580,14,0.033,343.2,74,0.05172413793103448,False,2013
95,Usable Security & Phishing,1,2006,chi,Why phishing works,10.1145/1124772.1124861,28,0.199,428.8,1312,-0.1111111111111111,False,2017
95,Usable Security & Phishing,2,2008,chi,You've been warned,10.1145/1357054.1357219,25,0.177,341.5,611,-0.058823529411764705,False,2017
95,Usable Security & Phishing,3,2006,chi,Do security toolbars actually prevent phishing attacks?,10.1145/1124772.1124863,22,0.156,328.8,555,0.23076923076923078,False,2017
95,Usable Security & Phishing,4,2007,chi,Protecting people from phishing,10.1145/1240624.1240760,18,0.128,209.8,280,-0.25,False,2017
95,Usable Security & Phishing,5,2010,chi,Who falls for phish?,10.1145/1753326.1753383,18,0.128,200.3,609,-0.125,False,2017
96,Smart-home Privacy,1,2018,pacmhci,"Alexa, Are You Listening?",10.1145/3274371,52,0.388,1598.8,561,-0.03909465020576132,False,2020
96,Smart-home Privacy,2,2018,pacmhci,User Perceptions of Smart Home IoT Privacy,10.1145/3274469,44,0.328,1203.1,417,-0.03286384976525822,False,2020
96,Smart-home Privacy,3,2019,pacmhci,Privacy Perceptions and Designs of Bystanders in Smart Homes,10.1145/3359161,42,0.313,1325.3,151,-0.0794979079497908,False,2020
96,Smart-home Privacy,4,2019,chi,Who's In Control?,10.1145/3290605.3300498,41,0.306,1280.4,189,-0.03881278538812785,False,2020
96,Smart-home Privacy,5,2019,chi,Defending My Castle,10.1145/3290605.3300428,35,0.261,1090.1,129,-0.06666666666666667,False,2020
97,Deceptive Advertising Patterns,1,2018,chi,The Dark (Patterns) Side of UX Design,10.1145/3173574.3174108,80,0.645,2360.6,803,0.011904761904761904,False,2021
97,Deceptive Advertising Patterns,2,2019,pacmhci,Dark Patterns at Scale,10.1145/3359183,65,0.524,1928.3,647,-0.23943661971830985,False,2021
97,Deceptive Advertising Patterns,3,2020,chi,UI Dark Patterns and Where to Find Them,10.1145/3313831.3376600,46,0.371,1381.8,252,-0.138328530259366,False,2021
97,Deceptive Advertising Patterns,4,2020,chi,Dark Patterns after the GDPR: Scraping Consent Pop-ups and Demonstrating their Influence,10.1145/3313831.3376321,39,0.315,1170.3,476,-0.03932584269662921,False,2021
97,Deceptive Advertising Patterns,5,2014,dis,Dark patterns in proxemic interactions,10.1145/2598510.2598541,29,0.234,808.6,168,0.0,False,2021
98,Ubicomp Privacy & Home Automation,1,2012,ubicomp,Expectation and purpose,10.1145/2370216.2370290,37,0.118,913.6,453,0.06756756756756757,False,2015
98,Ubicomp Privacy & Home Automation,2,2014,chi,Practical trigger-action programming in the smart home,10.1145/2556288.2557420,29,0.093,673.7,385,0.05970149253731343,False,2015
98,Ubicomp Privacy & Home Automation,3,2014,chi,In situ with bystanders of augmented reality glasses,10.1145/2556288.2557352,26,0.083,674.7,224,0.05343511450381679,False,2015
98,Ubicomp Privacy & Home Automation,4,2013,chi,Privacy as part of the app decision-making process,10.1145/2470654.2466466,24,0.077,604.3,310,-0.26666666666666666,False,2015
98,Ubicomp Privacy & Home Automation,5,2014,ubicomp,Privacy behaviors of lifeloggers using wearable cameras,10.1145/2632048.2632079,24,0.077,625.0,194,0.10434782608695652,False,2015
99,Movement & Somaesthetics,1,2007,chi,Research through design as a method for interaction design research in HCI,10.1145/1240624.1240704,104,0.161,1325.7,2246,0.2,False,2017
99,Movement & Somaesthetics,2,2012,chi,What should we expect from research through design?,10.1145/2207676.2208538,81,0.125,1806.9,1094,-0.10424710424710425,False,2017
99,Movement & Somaesthetics,3,2003,chi,Ambiguity as a resource for design,10.1145/642611.642653,79,0.122,1255.3,1326,0.26666666666666666,False,2017
99,Movement & Somaesthetics,4,2016,chi,Somaesthetic Appreciation Design,10.1145/2858036.2858583,75,0.116,2277.4,287,-0.07169117647058823,False,2017
99,Movement & Somaesthetics,5,2017,chi,Embodied Design Ideation Methods,10.1145/3025453.3025873,65,0.1,1983.2,188,-0.047619047619047616,False,2017
100,Bodily Play & Spectator Experience,1,2005,chi,Designing the spectator experience,10.1145/1054972.1055074,59,0.103,1425.3,434,0.05357142857142857,False,2011
100,Bodily Play & Spectator Experience,2,2011,chi,Designing sports,10.1145/1978942.1979330,55,0.096,1593.5,280,-0.01818181818181818,False,2011
100,Bodily Play & Spectator Experience,3,2009,chi,From interaction to trajectories,10.1145/1518701.1518812,50,0.088,1302.4,310,0.007575757575757576,False,2011
100,Bodily Play & Spectator Experience,4,2003,chi,Exertion interfaces,10.1145/642611.642709,48,0.084,955.8,359,0.3125,False,2011
100,Bodily Play & Spectator Experience,5,2006,chi,Getting a grip on tangible interaction,10.1145/1124772.1124838,46,0.081,1115.9,1077,0.19696969696969696,False,2011
101,Speculative & Critical Design,1,2014,chi,Research through design fiction,10.1145/2556288.2557098,67,0.119,2101.2,414,0.06222222222222222,False,2014
101,Speculative & Critical Design,2,2006,chi,Implications for design,10.1145/1124772.1124855,46,0.082,936.8,835,0.20930232558139536,False,2014
101,Speculative & Critical Design,3,2013,chi,"What is ""critical"" about critical design?",10.1145/2470654.2466451,38,0.067,1115.6,480,0.03664921465968586,False,2014
101,Speculative & Critical Design,4,2006,dis,Inspiration card workshops,10.1145/1142405.1142409,30,0.053,675.4,351,0.10909090909090909,False,2014
101,Speculative & Critical Design,5,2012,chi,The envisioning cards,10.1145/2207676.2208562,30,0.053,755.3,236,0.12,False,2014
102,Sustainable HCI,1,2010,chi,Mapping the landscape of sustainable HCI,10.1145/1753326.1753625,152,0.298,4422.1,775,-0.12605042016806722,False,2013
102,Sustainable HCI,2,2007,chi,Sustainable interaction design,10.1145/1240624.1240705,129,0.253,2949.8,755,0.345679012345679,False,2013
102,Sustainable HCI,3,2010,chi,The design of eco-feedback technology,10.1145/1753326.1753629,121,0.237,3541.9,786,-0.07253886010362694,False,2013
102,Sustainable HCI,4,2012,chi,Sustainably unpersuaded,10.1145/2207676.2208539,110,0.216,3354.2,474,-0.15294117647058825,False,2013
102,Sustainable HCI,5,2010,dis,HCI and environmental sustainability,10.1145/1858171.1858173,90,0.176,2677.3,425,-0.10902255639097744,False,2013
103,Family Video Communication,1,2003,chi,Technology probes,10.1145/642611.642616,72,0.168,1823.7,1425,0.13,False,2009
103,Family Video Communication,2,2001,chi,Digital family portraits,10.1145/365024.365126,41,0.096,964.1,582,0.030534351145038167,False,2009
103,Family Video Communication,3,2001,chi,Casablanca,10.1145/365024.383749,34,0.079,937.3,287,0.42857142857142855,False,2009
103,Family Video Communication,4,2009,idc,Developing a media space for remote synchronous parent-child interaction,10.1145/1551788.1551806,33,0.077,1037.1,99,0.0,False,2009
103,Family Video Communication,5,2002,chi,Unremarkable computing,10.1145/503376.503448,29,0.068,779.6,369,0.5185185185185185,False,2009
104,Memory & Reminiscence,1,2010,tochi,On human remains,10.1145/1806923.1806924,54,0.151,1563.8,207,-0.14049586776859505,False,2011
104,Memory & Reminiscence,2,2002,cscw,Requirements for photoware,10.1145/587078.587102,46,0.128,1187.9,378,-0.15789473684210525,False,2011
104,Memory & Reminiscence,3,2008,chi,AutoTopography,10.1145/1357054.1357065,41,0.115,1163.0,168,0.06422018348623854,False,2011
104,Memory & Reminiscence,4,2006,chi,Understanding photowork,10.1145/1124772.1124885,38,0.106,913.8,341,-0.023255813953488372,False,2011
104,Memory & Reminiscence,5,2011,chi,Teenagers and their virtual possessions,10.1145/1978942.1979161,35,0.098,1097.3,210,-0.024242424242424242,False,2011
105,Interpretation & Critique in Design Research,1,2006,dis,Staying open to interpretation,10.1145/1142405.1142422,41,0.121,1213.7,585,0.0,False,2015
105,Interpretation & Critique in Design Research,2,2012,dis,The logic of annotated portfolios,10.1145/2317956.2317968,41,0.121,1211.6,222,-0.03618421052631579,False,2015
105,Interpretation & Critique in Design Research,3,2005,tochi,Making by making strange,10.1145/1067860.1067862,35,0.103,768.4,481,0.0,False,2015
105,Interpretation & Critique in Design Research,4,2010,dis,An analysis and critique of<i>Research through Design</i>,10.1145/1858171.1858228,35,0.103,1098.1,485,-0.011111111111111112,False,2015
105,Interpretation & Critique in Design Research,5,2011,chi,Making spaces,10.1145/1978942.1979169,34,0.1,950.1,179,0.037037037037037035,False,2015
106,More-than-human Design,1,2017,chi,Designing for Cohabitation,10.1145/3025453.3025948,46,0.15,1399.4,186,0.0,False,2017
106,More-than-human Design,2,2004,dis,Infotropism,10.1145/1013115.1013145,19,0.062,212.7,114,0.008695652173913044,False,2017
106,More-than-human Design,3,2017,chi,Kinecting with Orangutans,10.1145/3025453.3025729,19,0.062,528.2,86,-0.023255813953488372,False,2017
106,More-than-human Design,4,2008,dis,Empathetic living media,10.1145/1394445.1394495,16,0.052,199.1,57,0.0,False,2017
106,More-than-human Design,5,2012,ubicomp,Exploring interspecies sensemaking,10.1145/2370216.2370239,16,0.052,479.9,82,-0.06451612903225806,False,2017
107,VR Meditation & Breathing,1,2017,chi,Inner Garden,10.1145/3025453.3025743,33,0.147,1030.3,145,-0.043343653250773995,False,2017
107,VR Meditation & Breathing,2,2017,chiplay,Life Tree,10.1145/3116595.3116621,27,0.12,810.7,149,-0.0975609756097561,False,2017
107,VR Meditation & Breathing,3,2016,dis,Biosignals as Social Cues,10.1145/2901790.2901850,25,0.111,878.9,117,-0.049689440993788817,False,2017
107,VR Meditation & Breathing,4,2012,dis,<i>Sonic Cradle</i>,10.1145/2317956.2318017,24,0.107,625.0,136,0.10101010101010101,False,2017
107,VR Meditation & Breathing,5,2012,chi,Understanding heart rate sharing,10.1145/2207676.2208526,24,0.107,685.7,112,0.0411522633744856,False,2017
108,Playful Food Experiences,1,2008,chi,Celebratory technology,10.1145/1357054.1357130,56,0.322,1243.6,285,0.23529411764705882,False,2015
108,Playful Food Experiences,2,2011,ubicomp,CoDine,10.1145/2030112.2030116,23,0.132,546.7,96,0.12,False,2015
108,Playful Food Experiences,3,2012,dis,Telematic dinner party,10.1145/2317956.2317964,23,0.132,521.5,97,-0.031746031746031744,False,2015
108,Playful Food Experiences,4,2013,tei,LOLL <i>io</i>,10.1145/2460625.2460675,17,0.098,152.4,56,0.1875,False,2015
108,Playful Food Experiences,5,2014,chi,"Temporal, affective, and embodied characteristics of taste experiences",10.1145/2556288.2557007,16,0.092,450.0,129,-0.00684931506849315,False,2015
109,Calendars & Scheduling,1,1999,chi,"Social, individual and technological issues for groupware calendar systems",10.1145/302979.302982,12,0.3,222.4,221,0.13793103448275862,False,2004
109,Calendars & Scheduling,2,2001,tochi,Dealing with mobility,10.1145/504704.504707,7,0.175,212.8,534,-0.05084745762711865,False,2004
109,Calendars & Scheduling,3,1990,cscw,A visual calendar for scheduling group meetings,10.1145/99332.99361,5,0.125,125.0,77,0.08695652173913043,False,2004
109,Calendars & Scheduling,4,2001,group,Building boundaries and negotiating work at home,10.1145/500286.500311,5,0.125,52.0,49,1.0,False,2004
109,Calendars & Scheduling,5,1986,chi,Social and psychological factors influencing the design of office communications systems,10.1145/29933.275651,4,0.1,108.0,39,0.5,False,2004
110,Self-tracking & Reflection,1,2006,ubicomp,Fish’n’Steps: Encouraging Physical Activity with an Interactive Computer Game,10.1007/11853565_16,115,0.222,1540.8,850,1.0,False,2015
110,Self-tracking & Reflection,2,2006,chi,Design requirements for technologies that encourage physical activity,10.1145/1124772.1124840,95,0.183,2644.2,800,0.3968253968253968,False,2015
110,Self-tracking & Reflection,3,2008,chi,Activity sensing in the wild,10.1145/1357054.1357335,93,0.179,2442.1,1128,0.03669724770642202,False,2015
110,Self-tracking & Reflection,4,2015,chi,Reflective Informatics,10.1145/2702123.2702234,72,0.139,2062.0,248,-0.03940886699507389,False,2015
110,Self-tracking & Reflection,5,2014,dis,Reviewing reflection,10.1145/2598510.2598598,67,0.129,1902.3,264,-0.029411764705882353,False,2015
111,Chronic Care & Caregiving,1,2013,cscw,Caring for caregivers,10.1145/2441776.2441789,68,0.202,1655.4,172,-0.061855670103092786,False,2015
111,Chronic Care & Caregiving,2,2011,cscw,Improving communication and social support for caregivers of high-risk infants through mob,10.1145/1958824.1958897,32,0.095,906.5,87,-0.017699115044247787,False,2015
111,Chronic Care & Caregiving,3,2013,chi,Understanding the conflicting demands of family caregivers caring for depressed family mem,10.1145/2470654.2481365,32,0.095,900.8,66,-0.06666666666666667,False,2015
111,Chronic Care & Caregiving,4,2010,chi,Catalyzing social support for breast cancer patients,10.1145/1753326.1753353,26,0.077,748.0,165,0.23529411764705882,False,2015
111,Chronic Care & Caregiving,5,2015,cscw,Transition and Reflection in the Use of Health Information,10.1145/2675133.2675276,26,0.077,753.5,72,-0.06140350877192982,False,2015
